,short_name,nationality,position,age,wage_eur,value_eur,mentality_positioning,attacking_finishing,movement_reactions,skill_ball_control,power_shot_power,value_pred
8063,L. Rosseti,Italy,delantero,24,2000,1000000,66,65,66,63,67,822450.0
8066,F. Palacios Martínez,Spain,delantero,24,5000,1000000,69,68,70,74,69,1647375.0
8079,C. Depres,France,delantero,24,7000,1000000,66,69,62,66,71,1007500.0
8085,J. Niezgoda,Poland,delantero,24,4000,1000000,68,68,63,65,68,1050125.0
8091,D. Bamba,Ivory Coast,delantero,24,3000,1000000,66,66,61,63,70,880125.0
8095,A. Onaiwu,Japan,delantero,23,2000,1000000,69,62,64,59,70,807400.0
8096,C. Colmán,Paraguay,delantero,25,3000,1000000,68,63,59,64,72,895225.0
8101,Stoichkov,Spain,delantero,25,4000,1000000,60,69,60,68,68,1060250.0
8107,D. Takagi,Japan,delantero,23,4000,1000000,63,63,59,67,61,963125.0
8111,P. Parzyszek,Poland,delantero,25,3000,1000000,69,66,68,65,62,947500.0
8117,D. Marsura,Italy,delantero,25,2000,1000000,63,64,61,68,64,966750.0
8120,B. Edomwonyi,Nigeria,delantero,24,6000,1000000,62,65,60,66,63,946875.0
8127,T. Dierckx,Belgium,delantero,24,4000,1000000,64,67,63,66,70,974250.0
8152,F. Pierrot,Haiti,delantero,24,4000,1000000,62,66,58,61,81,914250.0
8156,J. Stockley,England,delantero,25,10000,975000,67,68,66,64,66,903425.0
8157,L. Castaignos,Netherlands,delantero,26,3000,975000,65,64,65,67,67,893625.0
8164,C. Aneke,England,delantero,25,7000,975000,66,65,60,68,69,1017150.0
8169,S. Parker,Germany,delantero,26,4000,975000,65,64,62,67,80,1036625.0
8189,L. Melano,Argentina,delantero,26,5000,975000,65,61,65,67,64,896375.0
8194,D. Mendoza,Argentina,delantero,26,6000,975000,62,67,62,66,71,948200.0
8197,J. Kayembe,Belgium,delantero,24,8000,975000,62,56,63,71,61,1007625.0
8206,A. Kanté,Gambia,delantero,24,5000,975000,64,68,57,68,59,947125.0
8210,S. Rapp,Switzerland,delantero,26,6000,975000,70,65,68,64,68,849900.0
8227,S. Ngom,Senegal,delantero,26,9000,975000,67,70,59,68,68,1116625.0
8233,M. Rosafio,Italy,delantero,25,2000,950000,63,64,63,67,65,856400.0
8234,Z. Naidji,Algeria,delantero,24,4000,975000,61,73,63,70,74,2098000.0
8243,J. Clarke-Harris,England,delantero,24,4000,950000,60,70,57,62,80,1014350.0
8253,P. Hofmann,Germany,delantero,26,6000,925000,67,60,65,65,80,925625.0
8265,F. Forte,Italy,delantero,26,5000,925000,70,68,64,64,69,906000.0
8268,P. Sotiriou,Cyprus,delantero,26,8000,925000,64,64,65,67,69,904225.0
8270,M. Engels,Germany,delantero,25,3000,950000,67,71,63,64,67,985875.0
8274,P. Eze,Nigeria,delantero,26,7000,925000,61,67,60,64,71,658500.0
8285,M. Smith,England,delantero,27,5000,900000,67,66,65,65,69,887375.0
8290,T. Børven,Norway,delantero,27,2000,900000,68,69,61,66,68,940275.0
8292,J. Zoua,Cameroon,delantero,27,0,0,63,67,61,64,70,262875.0
8293,S. Pettinari,Italy,delantero,27,7000,900000,66,66,66,70,65,1120250.0
8307,G. Edwards,Wales,delantero,26,6000,900000,59,60,58,63,62,741275.0
8321,C. Washington,Northern Ireland,delantero,27,4000,900000,67,66,64,66,75,978750.0
8325,Song Seung Min,Korea Republic,delantero,27,2000,900000,69,66,67,67,63,991875.0
8328,P. Gladon,Netherlands,delantero,27,4000,900000,67,66,68,68,72,999625.0
8332,Luís Machado,Portugal,delantero,26,5000,900000,62,61,70,70,74,1076100.0
8334,M. Roman,Romania,delantero,27,4000,900000,58,66,62,68,76,986950.0
8351,I. Henderson,England,delantero,34,3000,400000,73,72,68,70,63,1067500.0
8364,David Barral,Spain,delantero,36,3000,270000,70,67,67,62,68,461050.0
8366,A. Cristea,Romania,delantero,35,3000,350000,69,70,74,63,69,619125.0
8367,D. Murphy,Republic of Ireland,delantero,36,12000,270000,72,68,66,64,74,594950.0
8374,S. McDonald,Australia,delantero,35,1000,350000,68,65,67,65,67,603650.0
8377,F. Evacuo,Italy,delantero,36,1000,270000,70,67,64,64,80,1078125.0
8380,E. Hoffer,Austria,delantero,32,5000,600000,72,63,63,66,66,882450.0
8389,J. Vaughan,England,delantero,30,8000,725000,69,67,64,64,66,766600.0
8396,F. Piovaccari,Italy,delantero,34,3000,400000,76,67,69,61,67,617475.0
8403,B. Pitman,England,delantero,31,5000,675000,74,71,63,63,70,939600.0
8409,S. Baldock,England,delantero,30,8000,725000,70,67,65,68,64,1712125.0
8410,L. Akins,England,delantero,30,5000,725000,64,65,61,64,70,575425.0
8423,A. Piccolo,Italy,delantero,31,2000,675000,64,63,70,70,62,791025.0
8434,Zheng Long,China PR,delantero,31,5000,675000,64,60,66,65,63,788600.0
8438,K. Agard,England,delantero,29,5000,750000,69,65,69,59,64,690500.0
8441,T. Elliott,England,delantero,28,6000,800000,65,66,60,68,64,818725.0
8449,C. Martin,Scotland,delantero,30,10000,725000,68,68,69,67,72,1391250.0
8452,T. Høiland,Norway,delantero,30,2000,725000,62,65,61,66,73,766525.0
8453,C. Evans,Wales,delantero,30,4000,725000,71,68,67,63,74,852325.0
8460,E. Kujović,Sweden,delantero,31,3000,675000,70,69,59,65,74,807925.0
8465,A. Nuhiu,Kosovo,delantero,29,11000,750000,69,66,64,70,68,1003000.0
8466,Sandaza,Spain,delantero,34,4000,400000,70,69,62,67,70,626650.0
8467,R. Söder,Sweden,delantero,28,2000,800000,69,66,71,67,70,984750.0
8469,Z. Ondrášek,Czech Republic,delantero,30,3000,725000,72,69,65,59,67,708175.0
8476,Adaílton,Brazil,delantero,28,3000,800000,58,65,65,68,70,887750.0
8488,V. Lundberg,Sweden,delantero,28,2000,800000,70,66,67,64,72,1179900.0
8501,Zequinha,Portugal,delantero,32,3000,600000,64,62,65,72,79,1779250.0
8505,B. Kee,Northern Ireland,delantero,28,3000,800000,67,68,66,65,71,962250.0
8508,Airam,Spain,delantero,31,3000,675000,71,66,66,64,63,762175.0
8512,J. Tinhan,France,delantero,30,3000,725000,74,68,59,64,67,809950.0
8513,R. Grange,France,delantero,30,3000,725000,67,62,63,66,74,840000.0
8515,S. Winnall,England,delantero,28,11000,800000,71,67,66,63,67,765500.0
8525,S. Makienok,Denmark,delantero,28,7000,800000,69,65,64,69,68,904500.0
8532,R. Bocalon,Italy,delantero,30,2000,725000,75,72,61,63,67,921625.0
8536,C. Deac,Romania,delantero,33,5000,475000,63,63,72,69,74,1435725.0
8538,L. Gikiewicz,Poland,delantero,31,6000,675000,74,67,61,59,71,728675.0
8539,M. te Vrede,Netherlands,delantero,27,11000,825000,68,70,65,65,72,1007375.0
8546,S. Schipplock,Germany,delantero,30,6000,725000,65,61,68,66,74,867250.0
8548,N. Helenius,Denmark,delantero,28,6000,800000,66,66,64,65,69,823925.0
8564,M. Fetsch,Germany,delantero,30,2000,725000,72,58,70,63,72,714050.0
8568,A. Montalto,Italy,delantero,31,2000,675000,72,72,65,64,70,1623575.0
8571,S. Elbers,Netherlands,delantero,27,4000,800000,64,64,63,68,65,871625.0
8574,M. Pušić,Austria,delantero,31,8000,675000,64,64,64,64,72,740675.0
8577,L. Silva,United States,delantero,30,3000,725000,65,68,65,67,73,954500.0
8580,M. Lieder,Netherlands,delantero,29,6000,750000,69,63,63,67,67,836125.0
8585,Samuel,Brazil,delantero,28,5000,800000,67,61,51,66,71,792175.0
8590,M. Asiri,Saudi Arabia,delantero,32,13000,600000,65,71,63,66,66,1142875.0
8594,Cassiano,Brazil,delantero,30,3000,725000,64,68,64,67,72,877775.0
8595,M. Starke,Namibia,delantero,28,3000,800000,60,67,61,68,77,1029625.0
8596,D. Nazarov,Azerbaijan,delantero,29,4000,750000,65,64,64,69,70,898000.0
8601,J. Ring,Sweden,delantero,27,3000,800000,61,55,62,69,66,852850.0
8602,D. Vallejos,Chile,delantero,29,2000,750000,69,65,56,66,69,770050.0
8603,Welinton Júnior,Brazil,delantero,26,5000,825000,70,65,65,67,72,980800.0
8607,C. Arias,Colombia,delantero,31,1000,675000,66,65,66,67,66,1072500.0
8609,L. Ruiz,Colombia,delantero,32,2000,600000,69,69,62,67,71,722500.0
8613,S. Jaime,Argentina,delantero,32,2000,600000,75,66,53,64,61,695900.0
8614,M. Donoso,Chile,delantero,32,2000,600000,76,71,65,60,72,772425.0
8631,Sandro Lima,Brazil,delantero,28,4000,800000,66,67,68,64,76,977000.0
8634,F. Ben Youssef,Tunisia,delantero,28,11000,800000,64,73,63,59,71,938625.0
8635,Avto,Georgia,delantero,27,3000,800000,65,62,65,70,72,949525.0
8650,G. Stewart,Scotland,delantero,29,18000,750000,67,69,60,69,65,1208500.0
8651,O. Salinas,Chile,delantero,31,2000,675000,63,68,56,65,63,729200.0
8652,J. Huentelaf,Chile,delantero,30,2000,725000,64,68,56,64,65,698250.0
8657,Lu Wenjun,China PR,delantero,30,6000,725000,63,66,60,61,69,589850.0
8661,G. Ávalos,Paraguay,delantero,28,6000,800000,68,67,61,62,59,760825.0
8669,L. Memela,South Africa,delantero,31,1000,675000,68,66,60,70,65,837525.0
8672,A. Nalini,Italy,delantero,29,2000,750000,67,65,63,70,69,1291125.0
8684,Gustavo Pastinho,Brazil,delantero,27,10000,825000,71,77,63,73,50,1732125.0
8691,F. Mercado,Colombia,delantero,29,2000,750000,68,72,60,68,65,1044875.0
8698,Ramon Lopes,Brazil,delantero,29,3000,750000,61,65,60,70,68,827375.0
8702,S. Nagasawa,Japan,delantero,30,2000,725000,66,71,58,68,67,999125.0
8708,K. Taketomi,Japan,delantero,28,5000,800000,70,69,62,67,72,801000.0
8719,Claudio Silbeiro,Brazil,delantero,35,4000,350000,68,72,62,63,64,982125.0
8720,Venanzio Meirás,Brazil,delantero,31,6000,675000,75,68,68,72,62,1725250.0
8722,J. Opoku,Netherlands,delantero,29,4000,750000,60,68,66,70,70,1094500.0
8723,M. Heider,Germany,delantero,33,6000,475000,64,63,67,63,77,580125.0
8725,C. Andriamahitsinoro,Madagascar,delantero,29,8000,750000,64,69,64,64,64,824000.0
8727,T. Gjertsen,Norway,delantero,27,2000,800000,64,62,62,67,68,858250.0
8734,A. Turgeman,Israel,delantero,28,7000,800000,72,69,58,68,68,912250.0
8735,K. Behrens,Germany,delantero,28,3000,800000,66,67,62,60,72,774350.0
8741,G. Costa,Uruguay,delantero,29,4000,750000,63,63,53,67,64,800150.0
8750,E. Cérica,Argentina,delantero,32,4000,600000,67,69,61,59,75,767900.0
8754,K. Suzuki,Japan,delantero,29,4000,750000,71,71,58,66,64,1410125.0
8756,J. Doku,Belgium,delantero,17,1000,1300000,53,53,50,71,50,997025.0
8759,A. Marin,Croatia,delantero,18,1000,1300000,58,58,58,71,62,1174250.0
8768,Pedro Neto,Portugal,delantero,19,12000,1400000,64,63,65,71,64,1292800.0
8769,J. Ferreira,Colombia,delantero,18,1000,1300000,74,71,63,63,64,1160150.0
8772,L. Traoré,Burkina Faso,delantero,18,2000,1300000,57,64,56,68,71,863350.0
8773,T. Sandoval,Argentina,delantero,20,3000,1400000,67,68,55,63,67,1091275.0
8775,M. Sylla,France,delantero,19,7000,1400000,67,66,66,66,64,1237500.0
8776,Miguel,Spain,delantero,19,4000,1400000,65,67,64,64,68,671750.0
8778,A. Gaich,Argentina,delantero,20,5000,1400000,71,73,65,67,59,1457375.0
8779,José Gomes,Portugal,delantero,20,2000,1400000,66,65,70,63,68,1124375.0
8780,D. Kutesa,Switzerland,delantero,21,4000,1400000,61,59,57,68,60,1258275.0
8783,C. Capone,Italy,delantero,20,1000,1400000,58,60,61,72,61,923775.0
8785,Robert,Spain,delantero,18,3000,1300000,54,59,55,65,60,582975.0
8789,M. Browne,England,delantero,21,8000,1400000,59,58,56,67,57,1232575.0
8790,J. Maja,England,delantero,20,7000,1400000,65,69,66,63,68,1228775.0
8791,J. Hastie,Scotland,delantero,20,11000,1400000,60,60,64,66,72,850700.0
8794,T. Buitink,Netherlands,delantero,19,4000,1400000,66,74,59,69,63,1276250.0
8803,M. Tavernier,England,delantero,20,8000,1200000,62,64,58,68,67,1088625.0
8813,Cristo González,Spain,delantero,21,2000,1200000,68,70,60,68,65,1159500.0
8815,Kim Dae Won,Korea Republic,delantero,22,2000,1100000,67,59,62,65,67,969350.0
8818,N. Venema,Netherlands,delantero,20,5000,1200000,70,71,64,57,74,1205575.0
8819,N. Guerra,Chile,delantero,20,3000,1200000,65,68,60,70,64,1211625.0
8825,Richard Rodrigues,Brazil,delantero,19,2000,1100000,64,65,65,72,71,1639425.0
8826,Adrián Carrasco,Spain,delantero,21,2000,1200000,60,68,59,65,72,1079500.0
8831,F. Troyansky,Argentina,delantero,22,4000,1100000,61,64,68,69,67,1058125.0
8832,C. Itten,Switzerland,delantero,22,5000,1100000,66,66,63,67,64,878000.0
8835,R. Tarifeño,Chile,delantero,22,2000,1100000,70,71,58,67,68,1265375.0
8841,J. Godínez,Mexico,delantero,22,8000,1100000,62,65,62,65,61,985750.0
8842,J. Amon,United States,delantero,20,3000,1100000,63,58,61,65,63,934975.0
8845,V. Costache,Romania,delantero,20,3000,1100000,68,68,62,66,65,1041000.0
8848,K. Hachadi,Morocco,delantero,21,2000,1100000,65,69,61,64,65,777900.0
8850,Douglas Aurélio,Brazil,delantero,20,2000,1100000,62,60,61,69,65,1106250.0
8852,Z. Bytyqi,Norway,delantero,22,2000,1000000,56,58,60,70,67,999650.0
8855,T. Walker,England,delantero,22,4000,1000000,62,69,59,66,66,997500.0
8861,G. Panico,Italy,delantero,22,1000,1000000,66,65,63,66,65,917875.0
8863,A. Da Cruz,Netherlands,delantero,22,2000,1000000,62,66,62,66,75,943050.0
8883,F. Onyeka,Nigeria,delantero,21,6000,1000000,63,61,64,68,57,973450.0
8885,I. Boonen,Belgium,delantero,20,4000,1000000,60,68,64,68,66,1080500.0
8890,J. Medina,Paraguay,delantero,22,3000,1000000,68,63,54,63,69,844200.0
8892,E. Cetre,Colombia,delantero,21,1000,1000000,64,64,50,66,72,909450.0
8902,V. Mihăilă,Romania,delantero,19,2000,1000000,65,56,60,65,74,894250.0
8909,J. Rodríguez,Colombia,delantero,23,4000,1000000,66,63,64,72,64,1542375.0
8910,F. Okenabirhie,England,delantero,23,3000,1000000,62,68,62,64,63,889975.0
8911,Y. Bnou-Marzouk,Morocco,delantero,23,3000,1000000,68,68,53,65,66,933575.0
8912,N. Vergos,Greece,delantero,23,1000,1000000,64,66,57,64,70,867375.0
8933,A. Rossi,Italy,delantero,22,1000,1000000,60,69,62,66,68,985125.0
8934,C. Nunnely,Netherlands,delantero,20,3000,1000000,50,50,57,74,56,1179275.0
8936,P. Schmidt,Austria,delantero,20,4000,1000000,63,71,62,63,59,1026375.0
8944,A. Petre,Romania,delantero,21,4000,1000000,68,65,65,60,68,904675.0
8945,J. Gaete,Chile,delantero,23,1000,1000000,64,64,54,67,65,869875.0
8950,D. Khalid,Morocco,delantero,20,5000,1000000,63,66,58,71,73,1305875.0
8955,A. Rodríguez,Argentina,delantero,23,5000,1000000,68,70,62,68,67,1164250.0
8959,S. Mraz,Slovakia,delantero,22,2000,1000000,62,71,65,59,66,714575.0
8961,J. Monreal,Chile,delantero,23,1000,1000000,67,69,54,67,68,1035200.0
8964,A. Ciobanu,Romania,delantero,21,3000,1000000,60,57,66,65,69,904950.0
8968,R. Moreo,Italy,delantero,23,1000,1000000,64,65,60,65,68,851425.0
8969,C. Morris,England,delantero,23,4000,950000,66,65,54,68,65,902875.0
8974,M. Njie,Norway,delantero,23,2000,950000,61,60,59,65,63,860025.0
9001,Cho Young Wook,Korea Republic,delantero,20,2000,975000,70,63,67,64,60,805300.0
9007,You Ju An,Korea Republic,delantero,20,2000,975000,65,65,61,65,63,903500.0
9015,Gonçalo Agrelos,Portugal,delantero,21,2000,950000,65,59,67,68,55,985650.0
9017,C. Ezeh,Nigeria,delantero,21,2000,950000,68,55,66,67,72,778650.0
9018,M. Merentiel,Uruguay,delantero,23,4000,950000,63,70,62,64,65,954000.0
9024,Ruster,Brazil,delantero,22,3000,950000,59,58,62,67,80,1143250.0
9026,Samuel Dias,Brazil,delantero,19,2000,925000,64,71,68,71,78,1450625.0
9032,J. Wilson,England,delantero,23,3000,925000,65,65,66,65,67,860975.0
9046,C. Hamilton,England,delantero,24,6000,925000,63,61,60,61,73,788925.0
9047,Erik,Brazil,delantero,24,4000,925000,65,68,68,66,65,1018875.0
9063,R. Peña,Venezuela,delantero,22,3000,925000,64,64,63,63,72,857975.0
9064,M. Bundu,Sierra Leone,delantero,22,4000,900000,67,61,60,66,68,858025.0
9071,E. Eze,Nigeria,delantero,22,6000,925000,66,62,59,66,70,840750.0
9076,A. Adam,Saudi Arabia,delantero,24,10000,925000,64,70,52,63,66,827875.0
9077,B. White,United States,delantero,23,3000,925000,64,66,63,65,64,868850.0
9078,F. Sakala,Zambia,delantero,22,5000,925000,58,68,58,57,75,884950.0
9085,F. Pons,Argentina,delantero,23,3000,925000,65,71,57,57,71,834250.0
9086,T. Štrkalj,Croatia,delantero,22,2000,925000,65,71,66,64,74,984750.0
9089,S. Nicholson,Jamaica,delantero,22,4000,925000,60,66,53,64,85,876825.0
9096,D. Seys,Belgium,delantero,22,2000,875000,54,62,57,68,61,772625.0
9101,M. Uhre,Denmark,delantero,24,6000,900000,59,66,64,63,71,889975.0
9104,P. Strand,Norway,delantero,24,2000,875000,58,60,58,63,71,739625.0
9108,M. Laínez,Mexico,delantero,23,6000,875000,57,59,60,66,72,794725.0
9118,Carlos Fortes,Portugal,delantero,24,3000,900000,62,64,59,65,71,777900.0
9127,N. Mihajlović,Serbia,delantero,23,3000,875000,58,60,57,67,72,835950.0
9129,A. Succar,Peru,delantero,23,2000,900000,64,69,63,61,61,841700.0
9133,E. Grezda,Albania,delantero,24,13000,875000,57,57,59,65,61,771175.0
9136,Simón Moreno,Spain,delantero,21,2000,900000,64,68,63,63,68,882600.0
9141,M. Bueno,Mexico,delantero,25,1000,875000,67,65,63,65,65,856375.0
9145,T. Fountas,Greece,delantero,23,5000,875000,71,61,67,66,65,916350.0
9146,D. Samuel,England,delantero,25,7000,875000,63,65,55,66,62,835625.0
9153,S. Al Shehri,Saudi Arabia,delantero,25,7000,875000,66,70,63,64,64,905500.0
9162,D. Islamovic,Sweden,delantero,25,2000,875000,67,66,64,65,78,959350.0
9167,C. Omoigui,Nigeria,delantero,24,4000,875000,62,68,53,61,68,664975.0
9168,D. Camara,Guinea,delantero,24,3000,875000,62,63,59,66,64,879375.0
9173,M. Asenjo,Argentina,delantero,24,4000,875000,65,68,64,68,73,1000750.0
9177,A. Capello,Italy,delantero,23,1000,875000,69,68,62,64,63,859500.0
9178,O. Zawada,Poland,delantero,23,2000,875000,63,67,59,65,67,859625.0
9181,J. Düker,Germany,delantero,23,1000,875000,63,62,67,71,63,987375.0
9196,J. Nietfeld,Germany,delantero,25,2000,875000,68,65,61,67,66,823525.0
9206,B. Mladenovic,Serbia,delantero,23,3000,850000,65,65,65,68,75,1396000.0
9217,M. Schmerböck,Austria,delantero,25,5000,850000,64,65,63,65,65,858175.0
9228,F. Friday,Nigeria,delantero,24,3000,850000,60,65,54,64,70,678575.0
9236,B. Ould-Chikh,Morocco,delantero,21,3000,850000,60,57,62,73,70,1301000.0
9246,J. Arias,Curacao,delantero,24,2000,850000,62,64,60,59,76,811750.0
9267,L. Röser,Germany,delantero,25,6000,850000,65,69,62,64,62,849750.0
9279,M. Djuricin,Austria,delantero,26,5000,825000,65,62,63,65,68,787750.0
9287,D. Skhirtladze,Georgia,delantero,26,2000,825000,62,64,65,64,64,778225.0
9288,C. Wyke,England,delantero,26,5000,825000,69,67,61,64,69,784125.0
9292,I. Vassell,England,delantero,25,9000,825000,65,67,62,62,64,787400.0
9296,A. Sané,Senegal,delantero,26,2000,825000,64,69,57,65,71,891250.0
9297,K. Mayi,France,delantero,26,6000,825000,64,64,65,68,61,848850.0
9318,K. Vassell,Northern Ireland,delantero,26,4000,825000,61,65,59,63,72,824200.0
9321,W. de la Rosa,Colombia,delantero,26,1000,825000,68,68,64,65,65,954000.0
9326,Nuha,Gambia,delantero,26,3000,825000,59,67,51,64,74,806650.0
9340,N. Maná,Argentina,delantero,25,4000,800000,63,66,55,69,68,784475.0
9344,N. Rajsel,Slovenia,delantero,26,5000,825000,67,65,60,67,69,896400.0
9347,J. García,Argentina,delantero,26,4000,825000,63,65,59,63,73,794125.0
9352,S. Guri,Albania,delantero,25,5000,825000,65,67,55,65,68,823075.0
9355,A. Stephens,Panama,delantero,24,2000,825000,65,66,68,68,71,893450.0
9357,O. Abdeldjelil,Algeria,delantero,26,3000,825000,65,68,60,61,67,685700.0
9360,L. Parisi,Argentina,delantero,25,4000,825000,61,67,53,71,65,947375.0
9361,M. Da Luz,Uruguay,delantero,24,4000,825000,61,65,60,68,67,908700.0
9374,Pak Kwang Ryong,Korea DPR,delantero,26,6000,800000,61,64,63,65,66,777375.0
9379,T. Boere,Netherlands,delantero,26,4000,800000,59,65,59,58,76,794575.0
9380,F. Ladapo,Nigeria,delantero,26,4000,800000,65,66,60,65,65,783500.0
9382,A. Al Salem,Saudi Arabia,delantero,26,11000,800000,65,65,61,67,67,821750.0
9383,I. Bulos,Peru,delantero,26,2000,800000,69,69,58,61,67,719950.0
9392,E. Gyasi,Ghana,delantero,25,2000,775000,57,53,57,73,63,1149500.0
9400,C. Doidge,Wales,delantero,26,3000,800000,67,67,64,65,64,832375.0
9401,M. Salazar,Belize,delantero,26,3000,800000,66,65,63,59,66,779875.0
9404,O. Bogle,England,delantero,25,9000,800000,66,67,59,62,65,759750.0
9408,D. Watari,Japan,delantero,26,4000,800000,70,67,66,64,65,788800.0
9424,J. Tallo,Ivory Coast,delantero,26,2000,775000,64,60,60,64,66,682850.0
9425,S. May,Scotland,delantero,26,3000,775000,67,63,66,66,65,954275.0
9429,A. Schalk,Netherlands,delantero,26,5000,775000,65,65,66,66,67,990850.0
9432,D. De Belder,Belgium,delantero,27,5000,750000,68,71,64,63,66,832250.0
9434,Z. Tripić,Norway,delantero,26,2000,750000,63,61,59,67,74,1011300.0
9438,G. De Luca,Italy,delantero,27,1000,750000,64,66,64,68,68,835325.0
9439,F. Diarra,Mali,delantero,27,2000,750000,62,68,60,62,67,737925.0
9446,P. Frick,Sweden,delantero,27,2000,750000,69,62,67,58,64,672175.0
9447,J. Correa,Colombia,delantero,26,1000,775000,62,63,60,65,68,785250.0
9460,C. Rivas,Colombia,delantero,27,1000,750000,72,64,58,65,68,790375.0
9462,T. Akindele,Canada,delantero,27,3000,750000,62,63,60,63,69,706300.0
9474,Lukian,Brazil,delantero,27,3000,750000,66,64,58,63,65,699700.0
9479,D. Vega,Costa Rica,delantero,26,2000,750000,66,57,58,69,67,887000.0
9482,L. Strizzolo,Italy,delantero,27,1000,750000,66,68,62,59,66,746675.0
9539,R. O'Donovan,Republic of Ireland,delantero,33,2000,400000,66,69,65,62,64,570125.0
9541,Linares,Spain,delantero,36,3000,230000,70,65,66,63,68,448375.0
9546,R. Schwartz,Denmark,delantero,29,4000,650000,69,68,59,65,70,807475.0
9547,N. Maynard,England,delantero,32,7000,525000,67,67,67,65,66,706600.0
9549,M. Pesenti,Italy,delantero,32,1000,525000,63,63,63,61,77,647675.0
9558,A. Rooney,Republic of Ireland,delantero,31,7000,575000,67,65,65,64,69,721425.0
9566,K. Cissé,Guinea,delantero,30,5000,625000,64,63,69,61,61,568650.0
9574,S. Ito,Japan,delantero,30,3000,625000,67,71,71,65,69,1292375.0
9576,R. Munsy,DR Congo,delantero,29,5000,650000,64,66,62,63,70,772625.0
9582,P. Haglund,Sweden,delantero,32,2000,525000,69,65,68,63,68,619450.0
9584,R. Armand,France,delantero,32,3000,525000,68,72,64,66,52,767125.0
9597,A. Jacobsen,Denmark,delantero,29,5000,650000,61,65,59,66,64,725200.0
9600,A. Judge,Republic of Ireland,delantero,30,5000,600000,65,63,59,68,70,1047150.0
9609,M. Godden,England,delantero,27,4000,675000,68,67,64,64,68,720325.0
9612,G. Masucci,Italy,delantero,34,1000,350000,75,61,72,70,61,790900.0
9614,M. Marconi,Italy,delantero,30,1000,625000,65,66,61,67,67,690975.0
9620,U. Eusepi,Italy,delantero,30,1000,625000,64,66,63,62,70,659650.0
9621,M. Sema,Sweden,delantero,30,3000,625000,62,64,62,70,60,724000.0
9644,Dong Xuesheng,China PR,delantero,30,5000,625000,68,68,64,54,69,602025.0
9647,Ricardinho,Brazil,delantero,29,2000,650000,64,66,63,67,66,755000.0
9649,S. Bidaoui,Morocco,delantero,29,2000,625000,62,50,61,72,62,780400.0
9650,A. Cook,England,delantero,28,7000,675000,64,65,57,63,70,736425.0
9672,M. Sansores,Mexico,delantero,28,4000,675000,65,68,67,63,65,710725.0
9691,M. Jankowski,Poland,delantero,29,2000,650000,65,63,67,64,63,610325.0
9701,Y. Qasmi,Morocco,delantero,28,3000,675000,72,65,69,61,73,694500.0
9702,G. Herrem,Norway,delantero,31,2000,575000,67,65,59,64,68,617050.0
9703,R. Riski,Finland,delantero,29,1000,625000,64,63,55,66,66,673950.0
9705,J. Verhoek,Netherlands,delantero,30,2000,625000,69,66,67,64,73,1183975.0
9721,M. Akyüz,Turkey,delantero,33,8000,400000,57,67,58,64,72,501450.0
9728,P. Hosiner,Austria,delantero,30,7000,625000,71,62,68,66,65,798125.0
9732,B. Çalık,Turkey,delantero,30,8000,600000,57,61,61,65,68,593425.0
9742,Nathan Júnior,Brazil,delantero,30,4000,625000,62,62,60,69,68,811075.0
9746,M. Al Sahlawi,Saudi Arabia,delantero,32,10000,525000,64,67,72,62,67,624975.0
9757,M. Rusike,Zimbabwe,delantero,29,2000,650000,61,66,64,67,73,730575.0
9759,M. Mohsen,Egypt,delantero,30,0,0,65,66,52,68,69,341625.0
9766,Diogo Acosta,Brazil,delantero,29,2000,650000,72,68,67,62,52,606700.0
9767,Joo Min Kyu,Korea Republic,delantero,29,3000,650000,65,64,60,65,70,725325.0
9770,T. Lehne Olsen,Norway,delantero,28,2000,675000,63,67,57,63,71,742125.0
9773,J. Pineda,Chile,delantero,30,1000,625000,68,65,63,70,67,1201625.0
9777,C. Escobar,Chile,delantero,29,1000,650000,68,67,62,64,64,711125.0
9782,N. Maturana,Chile,delantero,25,2000,700000,65,59,58,66,65,712925.0
9783,I. Díaz,Chile,delantero,29,2000,650000,66,65,61,63,68,695900.0
9789,S. Varas,Chile,delantero,30,2000,625000,68,65,61,63,72,725975.0
9793,S. Pol,Argentina,delantero,31,3000,575000,65,69,57,60,68,644325.0
9808,A. Vuletich,Argentina,delantero,27,2000,675000,67,60,61,61,67,646025.0
9813,K. Opseth,Norway,delantero,29,2000,650000,64,67,57,62,75,852125.0
9818,F. Ciampichetti,Argentina,delantero,31,4000,575000,67,71,62,61,66,797625.0
9819,M. Bilate,Netherlands,delantero,27,3000,675000,58,64,56,63,74,671700.0
9827,M. Johnson,England,delantero,28,11000,650000,54,51,58,68,67,619000.0
9838,Lorenzao Masca,Brazil,delantero,35,7000,300000,67,70,55,63,64,481975.0
9839,Danilo Sacrio,Brazil,delantero,27,5000,675000,57,66,61,64,70,557275.0
9840,Emílio Trevões,Brazil,delantero,31,5000,575000,61,65,56,64,62,569913.3333333333
9841,Flávio Triginho,Brazil,delantero,35,5000,300000,72,67,67,72,52,1144800.0
9851,Y. Toyoda,Japan,delantero,34,2000,350000,73,69,69,60,69,534050.0
9868,Luis Marleiro,Brazil,delantero,27,5000,675000,62,65,56,57,70,664825.0
9875,M. Bär,Germany,delantero,27,2000,675000,62,63,63,65,55,692225.0
9882,F. Serrarens,Netherlands,delantero,28,2000,675000,66,67,63,64,66,629900.0
